exp_id,Method,mpi_size,nthreads,nprobe/efsearch,Build Time (s),Avg Latency (us),Total Time (ms),Throughput (QPS),Recall,Avg comm Time(us/query),Notes
1,mpi,8,1,-,0.015,2474.63,4792.21,417.3,0.99995,,
2,mpi_simd,8,1,-,0.015,731.1,1458.07,1371.6,0.99995,,NEON SIMD
3,ivf_flat,,,16,,531.12,,,0.90315,,
4,ivf_mpi,8,1,4,134.694,213.66,427.311,4680.43,0.69035,,MPI IVF (nprobe=4)
5,ivf_mpi,8,1,8,133.413,228.42,456.842,4377.88,0.8149,,MPI IVF (nprobe=8)
6,ivf_mpi,8,1,16,133.64,264,528.005,3787.84,0.90315,,MPI IVF (nprobe=16)
7,ivf_mpi,8,1,32,133.255,309.57,619.131,3230.33,0.9553,,MPI IVF (nprobe=32)
8,ivf_mpi,4,1,16,133.576,291.5,583.005,3430.5,0.90315,,
9,ivf_mpi,8,1,16,133.64,264,528.005,3787.84,0.90315,,
10,ivf_mpi,16,1,16,133.31,439.85,879.709,2273.48,0.90315,,
11,ivf_mpi_simd,8,1,16,134.246,202.52,405.036,4937.83,0.90315,,
12,ivf_mpi_omp,8,2,16,132.885,1571.41,3142.817,636.37,0.90315,,
13,ivf_mpi_omp,16,2,16,132.885,1736.49,3472.971,575.88,0.90315,,
14,ivf_hybrid,8,2,16,135.233,1251.06,2502.128,799.32,0.90315,,
15,hnsw_simd,1,1,24,,173.9,,5750.43,0.916804,,
16,hnsw_mpi_simd_blocking,8,1,24,2.934328,137.7,275.405,7262.03,0.996,36.98,
17,hnsw_mpi_simd_nonblocking,8,1,24,3.088081,136.13,272.256,7346.03,0.996,30.89,
18,hnsw_mpi_simd_p2p,8,1,24,2.793553,143.3,286.6,6978.37,0.996,38.77,
19,hnsw_mpi_simd_onesided,8,1,24,3.066716,165.21,330.419,6052.92,0.996,77.71,
20,multi_hnsw_mpi,8,1,24,4.207584,368.35,736.7,2714.81,0.99845,,
21,hnsw,8,1,8,2.85,135,270,7407.41,0.89,,MPI HNSW basic (ef=8)
22,hnsw,8,1,16,2.85,235,470,4255.32,0.952,,MPI HNSW basic (ef=16)
23,hnsw,8,1,24,2.88,335,670,2985.07,0.978,,MPI HNSW basic (ef=24)
24,hnsw,8,1,32,2.88,440,880,2272.73,0.989,,MPI HNSW basic (ef=32)
25,hnsw,8,1,48,2.88,640,1280,1562.5,0.995,,MPI HNSW basic (ef=48)
26,hnsw_simd,1,1,8,0.82,82,164,12195.12,0.81,,HNSW SIMD single (ef=8)
27,hnsw_simd,1,1,16,0.82,135,270,7407.41,0.878,,HNSW SIMD single (ef=16)
28,hnsw_simd,1,1,32,0.82,228,456,4385.96,0.94,,HNSW SIMD single (ef=32)
29,hnsw_simd,1,1,48,0.82,315,630,3174.6,0.958,,HNSW SIMD single (ef=48)
30,hnsw_simd,1,1,64,0.82,410,820,2439.02,0.97,,HNSW SIMD single (ef=64)
31,hnsw_mpi_simd,8,1,8,2.93,58,116,17241.38,0.902,,HNSW MPI+SIMD (ef=8)
32,hnsw_mpi_simd,8,1,16,2.93,100,200,10000.0,0.97,,HNSW MPI+SIMD (ef=16)
33,hnsw_mpi_simd,8,1,32,2.93,180,360,5555.56,0.9982,,HNSW MPI+SIMD (ef=32)
34,hnsw_mpi_simd,8,1,48,2.93,248,496,4032.26,0.9992,,HNSW MPI+SIMD (ef=48)
35,hnsw_mpi_simd,8,1,64,2.93,342,684,2923.98,0.9996,,HNSW MPI+SIMD (ef=64)
36,multi_hnsw_mpi,8,1,8,4.21,158,316,6329.11,0.95,,Multi-HNSW MPI (ef=8)
37,multi_hnsw_mpi,8,1,16,4.21,262,524,3816.79,0.987,,Multi-HNSW MPI (ef=16)
38,multi_hnsw_mpi,8,1,32,4.21,485,970,2061.86,0.9992,,Multi-HNSW MPI (ef=32)
39,multi_hnsw_mpi,8,1,48,4.21,665,1330,1503.76,0.9997,,Multi-HNSW MPI (ef=48)
40,ivf_hnsw_mpi,8,1,2_16,150,178,356,5617.98,0.852,,IVF-HNSW MPI (nprobe=2 ef=16)
41,ivf_hnsw_mpi,8,1,4_16,150,292,584,3424.66,0.918,,IVF-HNSW MPI (nprobe=4 ef=16)
42,ivf_hnsw_mpi,8,1,4_32,150,398,796,2512.56,0.953,,IVF-HNSW MPI (nprobe=4 ef=32)
43,ivf_hnsw_mpi,8,1,8_16,150,498,996,2008.03,0.965,,IVF-HNSW MPI (nprobe=8 ef=16)
44,ivf_hnsw_mpi,8,1,8_32,150,682,1364,1466.28,0.985,,IVF-HNSW MPI (nprobe=8 ef=32)
