N,naive,two_way,four_way,iter_dc,rec_dc,speedup_two_way,speedup_four_way,speedup_iter_dc,speedup_rec_dc
128,0.00009441,0.00004841,0.00003450,0.00015296,0.00059821,1.95017652,2.73660914,0.61719540,0.15781300
256,0.00020679,0.00011391,0.00007927,0.00031817,0.00104075,1.81533536,2.60877952,0.64992022,0.19869097
512,0.00032472,0.00016694,0.00009076,0.00041598,0.00184063,1.94519440,3.57792393,0.78062714,0.17641847
1024,0.00064101,0.00033364,0.00017785,0.00083525,0.00371541,1.92130071,3.60419280,0.76745526,0.17252873
2048,0.00130422,0.00065250,0.00037003,0.00167196,0.00699354,1.99879387,3.52458693,0.78005042,0.18648887
4096,0.00280832,0.00137562,0.00066923,0.00407569,0.01507623,2.04149259,4.19632027,0.68904029,0.18627444
8192,0.00602789,0.00281983,0.00180817,0.01002391,0.02822495,2.13767593,3.33370037,0.60135099,0.21356591
16384,0.01094280,0.00576638,0.00364898,0.02016011,0.05769075,1.89768841,2.99886188,0.54279489,0.18968036
32768,0.02100968,0.01047094,0.00717551,0.04892426,0.11443574,2.00647583,2.92796864,0.42943278,0.18359370
65536,0.04508299,0.02152251,0.01435501,0.08000481,0.23335088,2.09469017,3.14057547,0.56350342,0.19319827
131072,0.08317293,0.04406280,0.02734616,0.18694990,0.47705975,1.88759974,3.04148480,0.44489422,0.17434489
262144,0.16687124,0.08324718,0.06225209,0.47226644,0.93452937,2.00452724,2.68057249,0.35334130,0.17856179
524288,0.34732615,0.17727254,0.14218379,1.13729013,1.82852898,1.95927779,2.44279710,0.30539802,0.18994840
1048576,0.66824763,0.34076514,0.28677018,2.41169017,3.68601837,1.96102110,2.33025494,0.27708685,0.18129254
2097152,1.36715290,0.72078960,0.96957790,5.49793270,7.20277600,1.89674338,1.41004957,0.24866672,0.18980917
4194304,3.28867470,2.10365510,2.24658730,15.36625320,15.09492030,1.56331459,1.46385351,0.21401930,0.21786632
8388608,6.27249910,4.35920570,4.20352610,33.85269130,29.93145980,1.43890872,1.49219939,0.18528805,0.20956208
16777216,12.05923010,8.66892000,8.81421370,72.73701520,59.43631200,1.39108794,1.36815722,0.16579220,0.20289331
33554432,24.47663140,20.26773340,17.78677960,146.05967470,119.05408760,1.20766496,1.37611372,0.16757967,0.20559253
67108864,50.54371960,39.32840790,37.88973760,283.07934180,236.57678570,1.28517075,1.33396858,0.17854966,0.21364615
134217728,102.21208510,76.98337410,78.41283400,557.64327440,467.99201030,1.32771636,1.30351219,0.18329296,0.21840562
